,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #3074,Blue,Swinging,Swinging,Black Nerd Glasses,Light Blue Beanie,Long Sleeves with Stripes,Blue / Yellow Tracksuit Jacket,Light Blue Skirt,Black Shoes,,,Bandage,,,,,,,,
0,Invisible Friends #3075,Blue,Swinging,Fast Food,White Nerd Glasses,,Long Sleeves,Purple Hoodie with Hood Up,White Sweatpants,White Shoes,Toothpick,,,,Gum,,,,,,
0,Invisible Friends #3076,Green,Swinging,Fast Food,Radioactive Glasses,Propeller Cap,Long Sleeves,Yellow Turtleneck,Lavender Pants,Green Shoes,,Yellow Chest Bag,,,,,,,Earrings,,
0,Invisible Friends #3077,Purple,Juice,Swinging,White Glasses,Cream Beanie,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Green Sweatpants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #3078,Blue,Swinging,Pocket,Nose Glasses with White Hair,Tie,Long Sleeves,Black Zipper Hoodie with Hood Down,White Shorts,Maroon Shoes,Toothpick,,,,,,,,,,
0,Invisible Friends #3079,Yellow,Swinging,Swinging,Thief Mask,Light Blue Beanie,Long Sleeves,Green / White V-Neck Sweater and Shirt,Green Pants,Dark Blue Slippers,,Brown Backpack with Slingshot,,,,Green Fannypack,,,Pencil,,
0,Invisible Friends #3080,Blue,Swinging,Swinging,Black Glasses,Blue Bucket Hat,Short Sleeves,White Loose Shirt with Pens,Charcoal Pants,Green Shoes,Bandana,Grey Backpack,,,,,,,,,
0,Invisible Friends #3081,Pink,Stick Bag,Swinging,,,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Up,Green Sweatpants,Yellow Boots,,,Bandage,,,,,,,,
0,Invisible Friends #3082,Yellow,Swinging,Swinging,Nerd Ghost Glasses,,Long Sleeves,Dark Blue / Light Blue Puffer Jacket,Lavender Pants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #3083,Blue,Swinging,Swinging,Rainbow Glasses,,Long Sleeves,Dark Blue / Light Blue Puffer Jacket,White Tracksuit Pants,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #3084,Green,Skateboard,Book,White Glasses,White / Light Blue Headband,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Shorts,Maroon Shoes,,,,Red Coat,,,,,,,
