,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #1144,Purple,Skateboard,Book,White Glasses,,Long Sleeves,Blue Zipper Hoodie with Hood Up,Green Sweatpants,Light Blue Slippers,Toothpick,,,,,Green Fannypack,,,,,
0,Invisible Friends #1145,Pink,Skateboard,Swinging,,Turquoise 5 Panel Cap,Long Sleeves,Grey Tucked Shirt,Grey Sweatpants,Maroon Shoes,Cigar,,,,Gum,,,,,,
0,Invisible Friends #1146,Blue,Baseball Bat,Swinging,Radioactive Glasses,Dark Blue Beanie,Long Sleeves,Green / White V-Neck Sweater and Shirt,Dark Blue Skirt,Ice Grey Sneakers,Bandana,Brown Backpack,,,,,,,,,
0,Invisible Friends #1147,Pink,Swinging,Swinging,Cool Glasses,Pink Pointy Beanie,Long Sleeves,Blue Zipper Hoodie with Hood Down,White Skirt,Tan Boots,,,,,,,,,Pencil,,
0,Invisible Friends #1148,Blue,Swinging,Swinging,Black Glasses,Blue Beanie,Long Sleeves,Red / White Varsity Jacket,Green Pants,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #1149,Blue,Swinging,Boxing Glove,Cool Glasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Pants,Ice Grey Sneakers,,Grey Backpack,,,,Yellow Fannypack,,,,,
0,Invisible Friends #1150,Blue,Swinging,Swinging,Nose Glasses with Black Hair,Feather Cap,Long Sleeves,Blue Hoodie with Hood Down,Green Pants,Light Blue Slippers,Pipe,Tote,,,,,,,,,
0,Invisible Friends #1151,Blue,Swinging,Swinging,,White / Blue Baseball Cap,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Lavender Pants,Light Blue Slippers,Straw,,,,,,Scarf,,,,
0,Invisible Friends #1152,Pink,Baseball Bat,Pocket,Sunglasses,,Long Sleeves,Black Hoodie with Hood Up,Red Tracksuit Pants,Tan Boots,,,,,,,,,,,
0,Invisible Friends #1153,Orange,Swinging,Magic Wand,Black Glasses,,Long Sleeves,Dark Blue / White V-Neck Sweater Vest and Shirt,Green Pants,Brown Boots,,,,,,,,,,,
0,Invisible Friends #1154,Blue,Swinging,Swinging,Swirly Glasses,Light Blue Beanie,Long Sleeves,White Loose Shirt with Pens,Blue Tracksuit Pants,Summer Night Sneakers,Toothpick,,,,,,Scarf Bandana,,,,
0,Invisible Friends #1155,Orange,Swinging,Swinging,,,Long Sleeves,Pink Hoodie with Hood Up,Dark Blue Pants,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #1156,Green,Swinging,Swinging,Black Glasses,White / Turquoise Backwards Cap,Long Sleeves,Pink Tucked Shirt,Dark Blue Shorts,Maroon Shoes,,,,,,Yellow Fannypack,,,Bing Bong Stick,,
0,Invisible Friends #1157,Blue,Boxing Glove,Pocket,White Glasses,Blue 5 Panel Cap,Long Sleeves,Blue Zipper Hoodie with Hood Up,White Sweatpants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #1158,Pink,Swinging,Boxing Glove,White Glasses,,Long Sleeves,Blue Hoodie with Hood Down,Purple Sweatpants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #1159,Blue,Axe,Coffee,Nose Glasses with White Hair,Turquoise 5 Panel Cap,Long Sleeves,Dark Blue / White Sweater and Shirt,Red Sweatpants,Summer Night Sneakers,Bandana,,,White Coat,,,,,,,
0,Invisible Friends #1160,Purple,Swinging,Swinging,,White Headband,Long Sleeves,Green Turtleneck,Charcoal Pants,Green Shoes,,,,,,,,White Suspenders,Bing Bong Stick,,
0,Invisible Friends #1161,Blue,Swinging,Swinging,Eye Patch,White / Turquoise Backwards Cap,Long Sleeves,Black Hoodie with Hood Down,Blue Sweatpants,Green Boots,,,,,,,,,Headset,,
0,Invisible Friends #1162,Purple,Axe,Swinging,White Nerd Glasses,,Long Sleeves,Pink Hoodie with Hood Up,Green Shorts,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #1163,Blue,Swinging,Pocket,White Glasses,,Long Sleeves,Cream Sweatshirt,White Tracksuit Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #1164,Blue,Swinging,Swinging,Nose Glasses with White Hair,,Long Sleeves,Tan / Green / White Puffer Vest,White Skirt,Tan Boots,,,,,,,,,,,
0,Invisible Friends #1165,Blue,Scientist,Pocket,Brown Glasses,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Shorts,White Shoes,,,,,,,,,,Dizzy,
0,Invisible Friends #1166,Blue,Baseball Bat,Dog,White Nerd Glasses,,Long Sleeves,Dark Blue / White Sweater and Shirt,Blue Sweatpants,Green Boots,,,,Red Coat,,,,,,,
0,Invisible Friends #1167,Orange,Umbrella,Swinging,Brown Glasses,Tan Baseball Cap,Long Sleeves,Pink Zipper Hoodie with Hood Down,Lavender Pants,Maroon Shoes,Bandana,,,,,,,,,,
0,Invisible Friends #1168,Blue,Juice,Magic Wand,,Red Headband,Long Sleeves,White Loose Shirt,Lavender Pants,Green Shoes,Pipe,,,,,,,,,,
0,Invisible Friends #1169,Blue,Baseball Bat,Flashlight,Eye Patch,White / Red Backwards Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Pink Shorts,Summer Night Sneakers,,,,,,,,,,,
0,Invisible Friends #1170,Pink,Juice,Swinging,Boomer Glasses,White Headband,Long Sleeves,Purple Hoodie with Hood Down,White Tracksuit Pants,Tan Boots,Toothpick,,Bandage,,,Yellow Fannypack,,,,,
0,Invisible Friends #1171,Blue,Scientist,Swinging,Black Nerd Glasses,Blue Beanie,Long Sleeves,Blue Zipper Hoodie with Hood Down,White Skirt,Bleached Sand Sneakers,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #1172,Orange,Baseball Bat,Swinging,White Nerd Glasses,,Long Sleeves,Indigo Turtleneck,Light Blue Skirt,Yellow Boots,Bandana,,,,,,,,,,
0,Invisible Friends #1173,Blue,Swinging,Tennis Racket,Radioactive Glasses,,Long Sleeves,Indigo Turtleneck,Blue Tracksuit Pants,Red Shoes,Cigar,,,,,,,,,,
0,Invisible Friends #1174,Blue,Duffel Bag,Swinging,White Nerd Glasses,,Long Sleeves,Green Tracksuit Jacket,Blue Pants,Light Blue Slippers,Cigar,,Bandage,,,,,,Earphones,,
0,Invisible Friends #1175,Orange,Swinging,Flashlight,Black Glasses,,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Red Sweatpants,Summer Night Sneakers,Cigar,Brown Backpack,,,,,,,,,
0,Invisible Friends #1176,Pink,Fishing Pole,Book,,Propeller Cap,Long Sleeves,Light Blue / Pink Tucked Shirt with Pens,Green Pants,Maroon Shoes,,,,White Coat,,Black Fannypack,,,,,
0,Invisible Friends #1177,Blue,Boxing Glove,Swinging,Sunglasses,Dark Blue Beanie,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Bleached Sand Sneakers,,,,,,,,,,,
0,Invisible Friends #1178,Blue,Swinging,Fast Food,,White / Turquoise Backwards Cap,Long Sleeves,Indigo Turtleneck,Tan Skirt,Light Blue Slippers,,,,,,,,,Pencil,,
0,Invisible Friends #1179,Orange,Swinging,Laptop,Googly Eyes,,Long Sleeves,Blue / Yellow Tracksuit Jacket,Blue Tracksuit Pants,Brown Boots,Pipe,,,Black Belted Coat,,,,,,,
0,Invisible Friends #1180,Blue,Umbrella,Swinging,White Nerd Glasses,White Headband,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Green Pants,Blue Shoes,,,,Yellow Coat,,,,,,,
0,Invisible Friends #1181,Blue,Boxing Glove,Swinging,,Blue Beanie,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Dark Blue Shorts,Blue Shoes,,Tote,,,,,,,,,
0,Invisible Friends #1182,Yellow,Fishing Pole,Dog,Brown Glasses,Red Headband,Long Sleeves,Pink Zipper Hoodie with Hood Down,Dark Blue Shorts,Red Shoes,Toothpick,,,,,,,,Headphones,,
0,Invisible Friends #1183,Blue,Swinging,Coffee,White Glasses,,Long Sleeves with Stripes,Blue Tracksuit Jacket,Grey Sweatpants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #1184,Purple,Bomb,Swinging,,Blue 5 Panel Cap,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Lavender Pants,Maroon Shoes,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #1185,Purple,Swinging,Cat,,Turquoise 5 Panel Cap,Long Sleeves,Dark Blue / Light Blue Puffer Jacket,Grey Sweatpants,Rocket Pop Sneakers,Pipe,,,,,,,,,,
0,Invisible Friends #1186,Blue,Skateboard,Swinging,White Nerd Glasses,,Long Sleeves,Light Blue / Pink Tucked Shirt with Pens,Green Pants,Bunny Slippers,,,,,,,,,,,
0,Invisible Friends #1187,Orange,Umbrella,Swinging,Black Nerd Glasses,,Long Sleeves,Naked,Naked,Green Boots,,,,Black Belted Coat,,,,,,,
0,Invisible Friends #1188,Purple,Axe,Swinging,White Glasses,,Short Sleeves,Light Blue / Pink Tucked Shirt,Grey Tracksuit Pants,Summer Day Sneakers,Radioactive Pipe,,,,,,,,,,
0,Invisible Friends #1189,Blue,Swinging,Swinging,Swirly Glasses,,Long Sleeves,Blue Hoodie with Hood Down,White Sweatpants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #1190,Blue,Shovel,Swinging,Pointy Glasses,Cowboy Hat,Short Sleeves,Tan / Green / White Puffer Vest,Blue Pants,White Shoes,Pipe,,,,,,,,,,
0,Invisible Friends #1191,Blue,Baseball Bat,Coffee,Boomer Glasses,Dark Blue Beanie,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Tan Pants,Pink Slippers,,,,,,,,,,,
0,Invisible Friends #1192,Blue,Swinging,Pocket,White Nerd Glasses,,Long Sleeves,Pink Tucked Shirt,Dark Blue Pants,Summer Day Sneakers,,Brown Backpack,,,,,Scarf,,,,
0,Invisible Friends #1193,Orange,Stick Bag,Coffee,Black Nerd Glasses,Rain Hat,Long Sleeves,Naked,Naked,Pink Slippers,,,,Grey Belted Coat,,,Scarf,,,,
0,Invisible Friends #1194,Purple,Stick Bag,Swinging,White Nerd Glasses,Feather Cap,Long Sleeves,Red Tracksuit Jacket,Grey Sweatpants,White Shoes,,,,,,Green Fannypack,,,,,
0,Invisible Friends #1195,Blue,Swinging,Pocket,,,Long Sleeves,Blue Zipper Hoodie with Hood Up,Red Sweatpants,Brown Boots,Bing Bong Stick,,Bandage,,,,,,,,
0,Invisible Friends #1196,Blue,Fishing Pole,Laptop,,Cream Beanie,Long Sleeves,Black Zipper Hoodie with Hood Down,Blue Pants,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #1197,Orange,Swinging,Metal Detector,,Blue Bucket Hat,Long Sleeves,Black Hoodie with Hood Down,Charcoal Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #1198,Purple,Swinging,Coffee,Black Glasses,,Long Sleeves,Blue Hoodie with Hood Down,Green Shorts,Bunny Slippers,Bandana,,,,,,,,Earrings,,
0,Invisible Friends #1199,Purple,Scientist,Swinging,Sunglasses,Yellow / Blue Pointy Beanie,Short Sleeves,Blue / White Sweater Vest and Shirt,Green Pants,Ocean Blue Sneakers,,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #1200,Purple,Swinging,Metal Detector,White Glasses,White / Blue Baseball Cap,Short Sleeves,Light Blue / Pink Tucked Shirt,Purple Sweatpants,Green Shoes,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #1201,Purple,Spray Can,Cat,,Blue 5 Panel Cap,Long Sleeves,Cream Sweatshirt,Purple Tracksuit Pants,Bunny Slippers,Cigar,,,,Gum,,,,,,
0,Invisible Friends #1202,Yellow,Juice,Swinging,,,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,Red Sweatpants,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #1203,Blue,Boxing Glove,Dog,Sunglasses,,Short Sleeves,White Loose Shirt,Grey Sweatpants,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #1204,Purple,Swinging,Cat,Boomer Glasses,White / Blue Baseball Cap,Long Sleeves,Blue Zipper Hoodie with Hood Up,Green Tracksuit Pants,Cream Slippers,Cigar,,,,,,,,,,
0,Invisible Friends #1205,Orange,Swinging,Coffee,,,Long Sleeves,Dark Blue / White Sweater and Shirt,Lavender Pants,Maroon Shoes,,,Bandage,,,,,,,,
0,Invisible Friends #1206,Blue,Swinging,Swinging,White Nerd Glasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Light Blue Shorts,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #1207,Orange,Axe,Swinging,White Glasses,,Long Sleeves,Blue Zipper Hoodie with Hood Up,White Sweatpants,Cream Slippers,Bing Bong Stick,,Bandage,,,,,,,,
0,Invisible Friends #1208,Blue,Swinging,Swinging,Boomer Glasses,,Long Sleeves,Blue Turtleneck,Grey Sweatpants,Summer Day Sneakers,,Black Chest Bag,,,,,,,,,
0,Invisible Friends #1209,Green,Stick Bag,Swinging,White Nerd Glasses,,Long Sleeves with Stripes,Blue Tracksuit Jacket,Light Blue Shorts,White Shoes,,,,,,,,,,,
0,Invisible Friends #1210,Green,Swinging,Swinging,Black Nerd Glasses,Blue 5 Panel Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Dark Blue Shorts,Black Shoes,Bandana,,,Red Coat,,,,,,,
0,Invisible Friends #1211,Purple,Stick Bag,Laptop,Black Nerd Glasses,,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Green Sweatpants,Bleached Sand Sneakers,,,,,,,,,,,
0,Invisible Friends #1212,Purple,Baseball Bat,Swinging,Black Nerd Glasses,Big Hat,Short Sleeves,Blue Tucked Shirt with Pens,Green Pants,White Shoes,Bandana,,,,,,,,,,
0,Invisible Friends #1213,Pink,Swinging,Boxing Glove,Nerd Ghost Glasses,Blue Beanie,Long Sleeves,Black / Yellow Varsity Jacket,Red Sweatpants,White Shoes,,,,,,,,,Headset,Dizzy,
0,Invisible Friends #1214,Blue,Swinging,Swinging,Black Glasses,,Long Sleeves,Green / White / Blue Tracksuit Jacket,White Tracksuit Pants,Cream Slippers,,Brown Backpack,,,,,,,,,
0,Invisible Friends #1215,Blue,Swinging,Swinging,VR Goggles Graph,White Baseball Cap,Long Sleeves,Blue Turtleneck,Blue Pants,Dark Blue Slippers,Radioactive Pipe,,,,,,,White Suspenders,,,
0,Invisible Friends #1216,Green,Swinging,Swinging,,Turquoise 5 Panel Cap,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Up,White Shorts,Summer Day Sneakers,,Grey Backpack,,,,,,,,,
0,Invisible Friends #1217,Blue,Swinging,Radioactive Bucket,,Blue Beanie,Long Sleeves,Yellow Turtleneck,Charcoal Pants,Maroon Shoes,,,,,,,,,,,Not Financial Advice Book
0,Invisible Friends #1218,Blue,Shovel,Swinging,Boomer Glasses,,Long Sleeves,Pink Hoodie with Hood Down,Green Sweatpants,Forest Moss Sneakers,Toothpick,,,,,,,,,,
0,Invisible Friends #1219,Blue,Swinging,Pocket,White Nerd Glasses,,Long Sleeves,Yellow Turtleneck,Blue Pants,Green Shoes,,Duffel Bag,,,,,,,Headset,,
0,Invisible Friends #1220,Blue,Swinging,Flashlight,,White Baseball Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Lavender Pants,White Shoes,,,,,Gum,,,,,,
0,Invisible Friends #1221,Orange,Swinging,Coffee,Nose Glasses with White Hair,,Long Sleeves,Blue Hoodie with Hood Up,Green Pants,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #1222,Green,Spray Can,Swinging,,Tie,Short Sleeves,Light Blue / Pink Tucked Shirt,Tan Pants,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #1223,Blue,Swinging,Fast Food,Sunglasses,Pink Pointy Beanie,Long Sleeves,Pink Zipper Hoodie with Hood Down,Green Tracksuit Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #1224,Blue,Swinging,Book,,Light Blue Beanie,Long Sleeves,Black Hoodie with Hood Down,White Tracksuit Pants,Blue Shoes,Toothpick,,,,,,,,,,
0,Invisible Friends #1225,Blue,Scientist,Swinging,White Glasses,,Long Sleeves,Light Blue Loose Shirt,Tan Shorts,Tan Boots,,,,Grey Belted Coat,,,,,,,
0,Invisible Friends #1226,Green,Spray Can,Swinging,Boomer Glasses,,Long Sleeves,Dark Blue / White Sweater and Shirt,White Shorts,Dark Blue Slippers,,,,Yellow Coat,,,,,,,
0,Invisible Friends #1227,Blue,Baseball Bat,Tennis Racket,,,Long Sleeves,Yellow Turtleneck,White Tracksuit Pants,Tan Boots,Cigar,,,,,,,,,,
0,Invisible Friends #1228,Purple,Axe,Boxing Glove,,,Long Sleeves,Grey Sweatshirt,Red Tracksuit Pants,Ocean Blue Sneakers,,Brown Backpack,,,,,,,Earphones,,
0,Invisible Friends #1229,Green,Baseball Bat,Swinging,Black Nerd Glasses,,Long Sleeves,Black Turtleneck,Green Pants,Light Blue Slippers,,,,Black Belted Coat,,,,White Suspenders,,,
0,Invisible Friends #1230,Orange,Swinging,Pocket,,Visor,Long Sleeves,Purple Zipper Hoodie with Hood Up,Tan Pants,Light Blue Slippers,,,,,,,,,,,
0,Invisible Friends #1231,Blue,Swinging,Swinging,Boomer Glasses,Blue Bucket Hat,Long Sleeves,Blue / Yellow Tracksuit Jacket,Tan Shorts,Bubblegum Blue Sneakers,Cigar,Grey Backpack with Balloons,,,,,,,,,
0,Invisible Friends #1232,Blue,Swinging,Flashlight,Thief Mask,,Short Sleeves,Dark Blue / White V-Neck Sweater Vest and Shirt,Lavender Pants,Maroon Shoes,,Green Chest Bag,,,,,,,,,
0,Invisible Friends #1233,Yellow,Stick Bag,Swinging,White Nerd Glasses,Tan Bucket Hat,Long Sleeves,Purple Hoodie with Hood Up,Green Pants,Summer Night Sneakers,,,,,,,,,,,
0,Invisible Friends #1234,Purple,Swinging,Swinging,,White Baseball Cap,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Dark Blue Pants,Forest Moss Sneakers,Bandana,,,,,,,,,,
0,Invisible Friends #1235,Pink,Bomb,Swinging,Googly Eyes,Blue 5 Panel Cap,Long Sleeves,Pink Hoodie with Hood Down,Tan Pants,Brown Boots,,,,,,,,,Earrings,,
0,Invisible Friends #1236,Blue,Bomb,Boombox,Radioactive Glasses,Visor,Long Sleeves,Pink Zipper Hoodie with Hood Down,Green Pants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #1237,Yellow,Juice,Swinging,,Dark Blue Beanie,Long Sleeves,Light Blue Loose Shirt,Green Pants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #1238,Yellow,Swinging,Cat,,,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,White Shorts,Black Shoes,,,,,,,Scarf,,Earrings,,
0,Invisible Friends #1239,Blue,Scientist,Swinging,White Nerd Glasses,,Long Sleeves,Green / White V-Neck Sweater and Shirt,Tan Pants,Blue Shoes,,,,Red Coat,,,Scarf Bandana,,,,
0,Invisible Friends #1240,Blue,Scientist,Boombox,Black Nerd Glasses,White / Blue Backwards Cap,Long Sleeves,Light Blue Loose Shirt with Pens,Green Tracksuit Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #1241,Purple,Swinging,Swinging,White Nerd Glasses,Blue Beanie,Short Sleeves,Blue Loose Shirt with Pens,Charcoal Pants,Dark Blue Slippers,,,,,,,,Rainbow Suspenders,Pencil,,
0,Invisible Friends #1242,Green,Swinging,Book,Sunglasses,,Long Sleeves,Pink Tucked Shirt,Dark Blue Shorts,Bleached Sand Sneakers,,,,Red Cape,,Green Fannypack,,,,,
0,Invisible Friends #1243,Orange,Swinging,Swinging,Black Nerd Glasses,,Long Sleeves,Black Zipper Hoodie with Hood Down,Blue Tracksuit Pants,Red Shoes,,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #1244,Orange,Swinging,Swinging,,Dark Blue Beanie,Short Sleeves,Light Blue Loose Shirt,Red Sweatpants,Tan Boots,Bandana,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #1245,Purple,Axe,Swinging,Sunglasses,Turquoise 5 Panel Cap,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Up,Dark Blue Pants,Maroon Shoes,Cigar,,,,,,,,,,
0,Invisible Friends #1246,Blue,Swinging,Swinging,White Glasses,White / Blue Baseball Cap,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Green Skirt,Bubblegum Blue Sneakers,Pipe,,,,,,,,,,
0,Invisible Friends #1247,Pink,Swinging,Swinging,White Glasses,,Long Sleeves,Blue Hoodie with Hood Down,Charcoal Pants,Black Shoes,,,,,,,,,,,
0,Invisible Friends #1248,Blue,Scientist,Swinging,White Glasses,,Short Sleeves,Blue / White Sweater Vest and Shirt,Green Pants,Red Shoes,Radioactive Pipe,,,,,,Scarf Bandana,,,,
0,Invisible Friends #1249,Pink,Swinging,Laptop,Brown Glasses,,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Up,Pink Shorts,Black Shoes,,,,,,Black Fannypack,,,,,
0,Invisible Friends #1250,Orange,Swinging,Book,,White / Turquoise Backwards Cap,Long Sleeves,Pink Hoodie with Hood Down,White Tracksuit Pants,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #1251,Blue,Swinging,Swinging,Black Nerd Glasses,Turquoise 5 Panel Cap,Long Sleeves,Blue / Yellow Tracksuit Jacket,Green Pants,Cream Slippers,,,,,,,,,,,
0,Invisible Friends #1252,Blue,Scientist,Swinging,Black Glasses,Blue Beanie,Short Sleeves,White Loose Shirt with Pens,Green Pants,Bleached Sand Sneakers,,,,,Gum,,,Rainbow Suspenders,,,
0,Invisible Friends #1253,Blue,Swinging,Crocodile,White Nerd Glasses,Cream Beanie,Long Sleeves,Pink Hoodie with Hood Down,White Shorts,Forest Moss Sneakers,,,,,,,,,,,
0,Invisible Friends #1254,Orange,Boxing Glove,Swinging,Rainbow Glasses,,Long Sleeves,Tan / Green / White Puffer Vest,Blue Pants,Green Boots,Bandana,,,,,,,,,,
0,Invisible Friends #1255,Blue,Bomb,Fast Food,,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Pink Skirt,Bubblegum Blue Sneakers,Pipe,,,,,,,,,,
0,Invisible Friends #1256,Pink,Juice,Swinging,Nose Glasses with Black Hair,,Long Sleeves,Grey Tucked Shirt,Grey Sweatpants,Black Shoes,Cigar,,,,,,Scarf Bandana,,,,
0,Invisible Friends #1257,Purple,Swinging,Book,Black Nerd Glasses,Cowboy Hat,Long Sleeves,Black Turtleneck,Red Tracksuit Pants,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #1258,Blue,Swinging,Metal Detector,,Blue Bucket Hat,Long Sleeves,Naked,Naked,Green Shoes,,,,Grey Belted Coat,,,,,,,
0,Invisible Friends #1259,Yellow,Axe,Flashlight,Eye Patch,Pink Pointy Beanie,Short Sleeves,Blue / White Sweater Vest and Shirt,White Tracksuit Pants,Ocean Blue Sneakers,,,,,,,,,Earphones,,
0,Invisible Friends #1260,Blue,Shovel,Book,,White / Turquoise Backwards Cap,Long Sleeves,Blue Turtleneck,Purple Tracksuit Pants,Black Shoes,,,,,,,,,,,
0,Invisible Friends #1261,Blue,Swinging,Swinging,Black Nerd Glasses,,Long Sleeves,Blue Tucked Shirt,Blue Pants,Summer Day Sneakers,,Brown Backpack,,,,,,,,,
0,Invisible Friends #1262,Blue,Swinging,Flashlight,Eye Patch,,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,White Shorts,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #1263,Pink,Umbrella,Boombox,Boomer Glasses,Turquoise 5 Panel Cap,Long Sleeves,Green / White V-Neck Sweater and Shirt,Grey Sweatpants,Green Shoes,Toothpick,Brown Backpack,,,,Green Fannypack,,,Pencil,,
0,Invisible Friends #1264,Blue,Juice,Swinging,White Glasses,,Long Sleeves,Blue / White Sweater Vest and Shirt,Lavender Pants,Light Blue Slippers,,,,,,,,,,,
0,Invisible Friends #1265,Orange,Duffel Bag,Swinging,,White Headband,Long Sleeves,Dark Blue / White Sweater Vest and Shirt,Tan Pants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #1266,Green,Duffel Bag,Laptop,Nose Glasses with White Hair,Propeller Cap,Short Sleeves,Light Blue / Pink Tucked Shirt,Dark Blue Pants,Dark Blue Slippers,Bandana,,,,,,,Rainbow Suspenders,,,
0,Invisible Friends #1267,Blue,Duffel Bag,Tennis Racket,Boomer Glasses,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Cream Slippers,Bandana,,,,,,,,,Dizzy,
0,Invisible Friends #1268,Pink,Swinging,Tennis Racket,,,Long Sleeves,Light Blue Loose Shirt,Blue Pants,Rocket Pop Sneakers,,,,,,,,,Bing Bong Stick,,
0,Invisible Friends #1269,Blue,Swinging,Watering Can,Sunglasses,,Long Sleeves,Grey Hoodie with Hood Up,Green Tracksuit Pants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #1270,Blue,Paint Roller,Book,Black Glasses,Knitted Bobble Hat,Long Sleeves,Cream Sweatshirt,Green Pants,Green Boots,,,,,Gum,,,,,,
0,Invisible Friends #1271,Blue,Swinging,Laptop,Black Nerd Glasses,Light Blue Beanie,Long Sleeves,Purple Zipper Hoodie with Hood Down,White Sweatpants,Tan Boots,,,,,,,,,,,
0,Invisible Friends #1272,Green,Swinging,Dog,,White Headband,Long Sleeves,Indigo Turtleneck,Tan Pants,White Shoes,,,,,,,,White Suspenders,,,
0,Invisible Friends #1273,Purple,Swinging,Swinging,VR Goggles Graph,Light Blue Beanie,Long Sleeves,Red Tracksuit Jacket,Grey Sweatpants,Green Boots,,,,,,,,,,,
0,Invisible Friends #1274,Blue,Boxing Glove,Coffee,Nose Glasses with White Hair,Green Pointy Beanie,Long Sleeves,Black / Yellow Varsity Jacket,Purple Tracksuit Pants,Blue Shoes,,,,,,,,,Bing Bong Stick,,
0,Invisible Friends #1275,Blue,Swinging,Swinging,Cool Glasses,,Short Sleeves,Blue / White Sweater Vest and Shirt,Lavender Pants,Light Blue Slippers,,Green Chest Bag,,,,,,,,,
0,Invisible Friends #1276,Blue,Umbrella,Swinging,Googly Eyes,,Long Sleeves,Black Zipper Hoodie with Hood Up,Dark Blue Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #1277,Blue,Axe,Swinging,Rainbow Glasses,,Long Sleeves,Blue Loose Shirt,White Shorts,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #1278,Yellow,Swinging,Swinging,Sunglasses,Blue 5 Panel Cap,Long Sleeves,Green / White Varsity Jacket,Blue Pants,Rocket Pop Sneakers,Toothpick,,,,,,,,Earrings,,
0,Invisible Friends #1279,Orange,Axe,Swinging,Nose Glasses with Black Hair,,Short Sleeves,Light Blue / Pink Tucked Shirt,Green Pants,Ice Grey Sneakers,,,,,,,Scarf,,Pencil,,
0,Invisible Friends #1280,Orange,Axe,Book,Eye Patch,,Long Sleeves,Orange Puffer Jacket,Tan Pants,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #1281,Blue,Duffel Bag,Dog,White Glasses,,Long Sleeves,Black Hoodie with Hood Down,White Sweatpants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #1282,Purple,Baseball Bat,Swinging,,Dark Blue Beanie,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Blue Tracksuit Pants,Summer Night Sneakers,Bandana,,,,,,,,,,
